Race Finish ,Bib ,Name ,Birthday,Year,Gender,Race,Round,Lane ,Reaction Time ,,Key,,
1,2163,BOLT Usain ,Aug 21 1986 ,2008,M,100,F,4,0.165,,Gender,M,Male
2,3025,THOMPSON Richard ,Jun 07 1985 ,2008,M,100,F,5,0.133,,,F,Female
3,3282,DIX Walter ,Jan 31 1986 ,2008,M,100,F,6,0.133,,Race,100,100m Sprint
4,1003,MARTINA Churandy ,Jul 03 1984 ,2008,M,100,F,9,0.169,,,200,200m Sprint
5,2142,POWELL Asafa ,Nov 23 1982 ,2008,M,100,F,7,0.134,,,400,400m Sprint
6,2148,FRATER Michael ,Oct 06 1982 ,2008,M,100,F,2,0.147,,,H,100(F)/110(M) m Hurdles
7,3019,BURNS Marc ,Jan 07 1983 ,2008,M,100,F,8,0.145,,Round,F,Finals
8,3215,PATTON Darvis ,Dec 04 1977 ,2008,M,100,F,3,0.142,,,S,Semifinals
1,2142,POWELL Asafa  ,Nov 23 1982  ,2008,M,100,S,6,0.161,,,R2,2nd Preliminary Heat
2,3025,THOMPSON Richard ,Jun 07 1985 ,2008,M,100,S,7,0.175,,,R1,1st Preliminary Heat
3,1003,MARTINA Churandy ,Jul 03 1984 ,2008,M,100,S,5,0.138,,,,
4,3215,PATTON Darvis ,Dec 04 1977 ,2008,M,100,S,4,0.149,,,,
5,3265,GAY Tyson ,Aug 09 1982 ,2008,M,100,S,9,0.145,,,,
6,2656,OBIKWELU Francis ,Nov 22 1978 ,2008,M,100,S,8,0.157,,,,
7,2222,TSUKAHARA Naoki ,May 10 1985 ,2008,M,100,S,3,0.143,,,,
8,1771,MBANDJOCK Martial ,Oct 14 1985 ,2008,M,100,S,2,0.148
1,2163,BOLT Usain  ,Aug 21 1986  ,2008,M,100,S,7,0.161
2,3282,DIX Walter ,Jan 31 1986 ,2008,M,100,S,6,0.143
3,3019,BURNS Marc ,Jan 07 1983 ,2008,M,100,S,4,0.124
4,2148,FRATER Michael ,Oct 06 1982 ,2008,M,100,S,9,0.163
5,2868,COLLINS Kim ,Apr 05 1976 ,2008,M,100,S,5,0.163
6,1100,ATKINS Derrick ,Jan 05 1984 ,2008,M,100,S,2,0.159
7,1801,EDGAR Tyrone ,Mar 29 1982 ,2008,M,100,S,8,0.143
8,2693,FRANCIS Samuel ,Mar 27 1987 ,2008,M,100,S,3,0.146
1,2142,POWELL Asafa  ,Nov 23 1982  ,2008,M,100,R2,7,0.149
2,3282,DIX Walter ,Jan 31 1986 ,2008,M,100,R2,9,0.163
3,1100,ATKINS Derrick ,Jan 05 1984 ,2008,M,100,R2,5,0.179
4,1024,BAILEY Daniel ,Sep 09 1986 ,2008,M,100,R2,4,0.149
5,1928,ZAKARI Aziz ,Sep 02 1976 ,2008,M,100,R2,3,0.167
6,2833,EPISHIN Andrey ,Jun 10 1981 ,2008,M,100,R2,6,0.158
7,1238,LIMA Vicente ,Jun 04 1977 ,2008,M,100,R2,8,0.157
8,1355,HU Kai ,Aug 04 1982 ,2008,M,100,R2,2,0.165
1,2163,BOLT Usain  ,Aug 21 1986  ,2008,M,100,R2,7,0.165
2,3215,PATTON Darvis ,Dec 04 1977 ,2008,M,100,R2,5,0.159
3,2656,OBIKWELU Francis ,Nov 22 1978 ,2008,M,100,R2,4,0.168
4,2537,SAIDY NDURE Jaysuma ,Jan 01 1984 ,2008,M,100,R2,8,0.133
5,1824,PICKERING Craig ,Oct 16 1986 ,2008,M,100,R2,9,0.144
6,2503,METU Obinna ,Jul 12 1988 ,2008,M,100,R2,6,0.174
7,1291,HENRY Anson ,Mar 09 1979 ,2008,M,100,R2,3,0.142
8,1578,RODRIGUEZ Angel David ,Apr 25 1980 ,2008,M,100,R2,2,0.154
1,3019,BURNS Marc  ,Jan 07 1983  ,2008,M,100,R2,6,0.174
2,2868,COLLINS Kim ,Apr 05 1976 ,2008,M,100,R2,4,0.15
3,1801,EDGAR Tyrone ,Mar 29 1982 ,2008,M,100,R2,5,0.13
